Vault ID,Year,University,School,Degree,Employment Rate Overall,Employment Rate FT Perm,Basic Monthly Mean,Basic Monthly Median,Gross Monthly Mean,Gross Monthly Median,Gross Monthly 25th Percentile,Gross Monthly 75th Percentile
987,2021,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy,97.7,93,3505,3300,3539,3400,3100,3500
988,2021,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,99.2,96.2,5018,4500,5173,4500,3700,5858
989,2021,Nanyang Technological University,College of Business (Nanyang Business School),Business,96.2,85.2,4211,4000,4362,4000,3500,4800
990,2021,Nanyang Technological University,College of Business (Nanyang Business School),Double Degree in Business and Computer Engineering/Computing,93.8,87.5,6418,6300,6578,6300,5250,8225
991,2021,Nanyang Technological University,College of Engineering,Aerospace Engineering,94.4,87.3,4250,4250,4321,4471,3792,5000
992,2021,Nanyang Technological University,College of Engineering,Bioengineering,90.9,75.8,3480,3483,3654,3500,3300,3850
993,2021,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,91.1,84.8,3784,3600,3959,3740,3600,4300
994,2021,Nanyang Technological University,College of Engineering,Civil Engineering,97.7,92,3596,3500,3664,3540,3400,3800
995,2021,Nanyang Technological University,College of Engineering,Computer Engineering,95.8,89.6,4649,4500,4847,4500,4000,5000
996,2021,Nanyang Technological University,College of Engineering,Computer Science,97,91,4871,4800,4924,4800,4200,5450
997,2021,Nanyang Technological University,College of Engineering,Double Degree in Engineering and Economics ^,90.9,90.9,4485,4580,4566,4583,4530,4900
998,2021,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,93.9,88.6,3978,3900,4069,4000,3600,4400
999,2021,Nanyang Technological University,College of Engineering,Environmental Engineering,96.6,86.2,3422,3500,3487,3500,3200,3600
1000,2021,Nanyang Technological University,College of Engineering,Information Engineering and Media,95.7,88.6,4247,4200,4325,4200,3900,4800
